Filename,Year,Age,AgeClass,Country Code,Country Name,World Region,Balanced Region,Size,Mean Color,Variance
2019_6-9_0528_BGD_R_C.jpg,2019,6-9,2,BGD,Bangladesh,S. Asia,S. Asia,"(1217, 1673)",[80.0932216  59.98939953 49.3925643 ],1406.5883074353396
2019_6-9_0523_BGD_R_C.jpg,2019,6-9,2,BGD,Bangladesh,S. Asia,S. Asia,"(1211, 1647)",[82.68000874 59.79922257 56.98475721],1353.2023912839152
2019_6-9_0531_BGD_R_C.jpg,2019,6-9,2,BGD,Bangladesh,S. Asia,S. Asia,"(1221, 1650)",[93.27693197 85.19684561 88.2592356 ],2108.325924204838
2019_6-9_0513_BGD_R_C.jpg,2019,6-9,2,BGD,Bangladesh,S. Asia,S. Asia,"(1205, 1646)",[44.46984315 51.29123488 64.65048729],1176.7598167317983
2019_6-9_0527_BGD_R_C.jpg,2019,6-9,2,BGD,Bangladesh,S. Asia,S. Asia,"(1669, 1237)",[95.45229548 66.75751652 49.85008329],1951.0342805186294
2019_6-9_0517_BGD_R_C.jpg,2019,6-9,2,BGD,Bangladesh,S. Asia,S. Asia,"(1223, 1653)",[85.56926998 71.68910264 58.87659346],1569.386398530855
2019_6-9_0514_BGD_R_C.jpg,2019,6-9,2,BGD,Bangladesh,S. Asia,S. Asia,"(1208, 1645)",[90.32902333 61.84125687 45.15618471],1747.941773620568
2019_6-9_0525_BGD_R_C.jpg,2019,6-9,2,BGD,Bangladesh,S. Asia,S. Asia,"(1223, 1671)",[126.26552566  96.89266811  80.58961174],3432.057314907148
2019_6-9_0522_BGD_R_C.jpg,2019,6-9,2,BGD,Bangladesh,S. Asia,S. Asia,"(1209, 1653)",[132.08229867  95.09863661  58.37803337],2312.9487810490714
2019_6-9_0510_BGD_R_C.jpg,2019,6-9,2,BGD,Bangladesh,S. Asia,S. Asia,"(1208, 1635)",[72.80531928 54.32230087 42.84288535],1487.9448193281237
2019_6-9_0507_BGD_R_C.jpg,2019,6-9,2,BGD,Bangladesh,S. Asia,S. Asia,"(1211, 1656)",[76.23853854 54.92649056 45.74675229],1058.2158632094117
2019_6-9_0516_BGD_R_C.jpg,2019,6-9,2,BGD,Bangladesh,S. Asia,S. Asia,"(1228, 1662)",[111.32810534 101.39221808  67.92334987],5301.081318733017
2019_6-9_0505_BGD_R_C.jpg,2019,6-9,2,BGD,Bangladesh,S. Asia,S. Asia,"(1212, 1658)",[115.95551969  72.21429752  48.22780538],2466.1629374951144
2019_6-9_0508_BGD_R_C.jpg,2019,6-9,2,BGD,Bangladesh,S. Asia,S. Asia,"(1665, 1230)",[75.68605581 58.49253986 38.45668644],1537.4736321934806
2019_6-9_0512_BGD_R_C.jpg,2019,6-9,2,BGD,Bangladesh,S. Asia,S. Asia,"(1669, 1229)",[71.93652743 64.73700042 60.97054847],2413.6742780582354
2019_6-9_0499_BGD_R_C.jpg,2019,6-9,2,BGD,Bangladesh,S. Asia,S. Asia,"(1223, 1647)",[98.05920673 61.24407568 52.79883293],2169.7105272577123
2019_6-9_0501_BGD_R_C.jpg,2019,6-9,2,BGD,Bangladesh,S. Asia,S. Asia,"(1225, 1648)",[43.37783634 46.70248118 51.88008817],1036.0390504869636
2019_6-9_0471_KAZ_R_C.jpg,2019,6-9,2,KAZ,Kazakhstan,Central Asia,Others,"(1928, 1395)",[88.45292985 78.88241125 58.14653401],3586.524631887228
2019_6-9_0478_KAZ_R_C.jpg,2019,6-9,2,KAZ,Kazakhstan,Central Asia,Others,"(1782, 1288)",[133.99100608 123.36035824  45.39597319],7894.287470122856
2019_6-9_0441_BGR_R_C.jpg,2019,6-9,2,BGR,Bulgaria,Eastern Europe,Eastern Europe,"(1041, 760)",[83.25327367 57.3881263  40.59542697],1522.6229943950575
2019_6-9_0442_BGR_R_C.jpg,2019,6-9,2,BGR,Bulgaria,Eastern Europe,Eastern Europe,"(762, 1039)",[120.909901   103.11389661  79.07933759],2731.261415834903
2019_6-9_0457_BGR_R_C.jpg,2019,6-9,2,BGR,Bulgaria,Eastern Europe,Eastern Europe,"(758, 1055)",[136.09349373 114.67089247  64.76419363],5225.44764892342
2019_6-9_0443_BGR_R_C.jpg,2019,6-9,2,BGR,Bulgaria,Eastern Europe,Eastern Europe,"(634, 886)",[60.152226   91.05646011 70.65548205],976.3614380868775
2019_6-9_0436_BGR_R_C.jpg,2019,6-9,2,BGR,Bulgaria,Eastern Europe,Eastern Europe,"(1050, 787)",[170.50211412 155.4913245   89.87182308],7472.499902395697
2019_6-9_0470_KAZ_R_C.jpg,2019,6-9,2,KAZ,Kazakhstan,Central Asia,Others,"(1335, 1886)",[127.73053686 127.04673903 100.2359209 ],3179.9468277992173
2019_6-9_0462_SGP_R_C.jpg,2019,6-9,2,SGP,Singapore,Southeast Asia and Micronesia,Southeast Asia and Micronesia,"(874, 1250)",[125.17110938 112.10432037  69.30881739],3670.742038026267
2019_6-9_0439_BGR_R_C.jpg,2019,6-9,2,BGR,Bulgaria,Eastern Europe,Eastern Europe,"(753, 1033)",[78.06802606 72.24099407 69.04036516],1087.4325198090548
2019_6-9_0428_BGR_R_C.jpg,2019,6-9,2,BGR,Bulgaria,Eastern Europe,Eastern Europe,"(762, 937)",[13.26771373 15.24496704 13.49905321],568.6981511660094
2019_6-9_0434_BGR_R_C.jpg,2019,6-9,2,BGR,Bulgaria,Eastern Europe,Eastern Europe,"(756, 1040)",[121.77162062 102.98574354  81.09775005],2299.938586795061
2019_6-9_0426_BGR_R_C.jpg,2019,6-9,2,BGR,Bulgaria,Eastern Europe,Eastern Europe,"(741, 1030)",[ 99.21044901  96.66463451 100.75621503],3028.402063734974
2019_6-9_0425_BGR_R_C.jpg,2019,6-9,2,BGR,Bulgaria,Eastern Europe,Eastern Europe,"(1063, 772)",[121.40940198  88.6284126   27.56552113],5667.140489683726
2019_6-9_0423_BGR_R_C.jpg,2019,6-9,2,BGR,Bulgaria,Eastern Europe,Eastern Europe,"(907, 759)",[173.70833351 149.89693832  13.94244734],8894.636434435472
2019_6-9_0429_BGR_R_C.jpg,2019,6-9,2,BGR,Bulgaria,Eastern Europe,Eastern Europe,"(759, 1043)",[187.77817358 174.57723174 118.70407144],7842.78517013851
2019_6-9_0427_BGR_R_C.jpg,2019,6-9,2,BGR,Bulgaria,Eastern Europe,Eastern Europe,"(612, 1030)",[187.37713053 159.84809791  14.57951012],9682.027774119546
2019_6-9_0298_KOR_R_C.jpg,2019,6-9,2,KOR,"Korea, Republic of",Eastern Asia,Eastern Asia,"(940, 1281)",[ 73.94048366 107.52414503  90.25679489],4752.734339301235
2019_6-9_0296_KOR_R_C.jpg,2019,6-9,2,KOR,"Korea, Republic of",Eastern Asia,Eastern Asia,"(1163, 823)",[154.31956467 135.36791137 131.78156901],8086.891475285368
2019_6-9_0301_KOR_R_C.jpg,2019,6-9,2,KOR,"Korea, Republic of",Eastern Asia,Eastern Asia,"(808, 1166)",[107.50731642  94.65709967  75.21123351],3280.651808795553
2019_6-9_0421_BGR_R_C.jpg,2019,6-9,2,BGR,Bulgaria,Eastern Europe,Eastern Europe,"(748, 968)",[109.34300145  79.50541665  57.86650213],2841.5883646525094
2019_6-9_0299_KOR_R_C.jpg,2019,6-9,2,KOR,"Korea, Republic of",Eastern Asia,Eastern Asia,"(939, 1276)",[112.37315927 120.51109781  70.73182135],6292.136533961353
2019_6-9_0553_BGD_R_C.jpg,2019,6-9,2,BGD,Bangladesh,S. Asia,S. Asia,"(1224, 1647)",[101.96285185  68.08349653  67.29784695],2180.9949091631424
2019_6-9_0430_BGR_R_C.jpg,2019,6-9,2,BGR,Bulgaria,Eastern Europe,Eastern Europe,"(759, 1041)",[206.4959582  148.06282725  50.05485756],6697.202516691759
2019_6-9_0292_KOR_R_C.jpg,2019,6-9,2,KOR,"Korea, Republic of",Eastern Asia,Eastern Asia,"(824, 1168)",[163.81317226 165.64038602 112.50044367],4605.69090730175
